gbifID,correctedYear,correctedCollector
1503196761,1981,
1503212382,1984,
1503212584,1984,
1990692466,1898,
1500137176,1894,
1321502148,,J. B. Morton
123000645,NA,NA
415955470,NA,NA
1457793709,,Jon Morton
1457817985,,Jon Morton
1503196532,,Julie Morton
1258934868,NA,
1258934868,NA,NA
122911280,NA,NA
1978380166,,Doug Caldwell
1928147819,1936,
122898403,1982,
122964777,1981,
122968455,1982,
122964808,1982,
1320529083,1981,
122939838,1981,
122966768,1982,
123009884,1982,
153278047,NA,NA
122941786,1978,
1274248110,NA,NA
1457775217,NA,NA
1457780167,1975,
1274252696,NA,NA
1457820998,1937,
1503173939,,K. Rhoads
1503173946,,K. Rhoads
1503173952,,K. Rhoads
1503173962,,K. Rhoads
1457792193,,Joe Williams
1457795830,,Janet Williams
122939271,,J. H. Williams
1503199973,1981,
1274759535,NA,NA
122942256,,U. H. Williams
122942240,,U. H. Williams
122942245,,U. H. Williams
122942252,,U. H. Williams
686194734,NA,NA
1457793860,1930,
1457754104,1941,
1457813099,1936,
123014316,1930,W. M. Buswell
699267771,,W. M. Buswell
123017410,1951,
123003107,1988,
122899678,NA,NA
122997519,1989,
1274130994,NA,NA
1274122751,NA,NA
1274133440,NA,NA
1274133817,NA,NA
1257921620,NA,NA
1503316176,1970,
1274131425,NA,NA
123003292,1970,
122914968,1969,
122930039,1969,
1457777575,1940,
122954206,1980,
1304448029,NA,NA
1302623733,NA,NA
1274134747,NA,NA
122994705,NA,NA
1320152175,NA,NA
122922803,1950,
1457815253,1965,
1457784641,1959,
1274123206,NA,NA
1274131368,NA,NA
1274135485,NA,NA
1274589777,NA,NA
1274590633,NA,NA
1274707706,NA,NA
1457782313,1997,
123017712,NA,NA
122954906,1998,
1675986503,NA,NA
1503234622,1997,
