GBIF_ID,CorrectedYear,CorrectedCollector,Notes
415958017,1894,,https://rbg-web2.rbge.org.uk/cgi-bin/nph-readfile.pl/dataset=uconn%7Cspecimens/parent=allspecs/filename=genimag?33934576|retq=genus%3D%26species%3D%26NAME*1%3D%26FILTER_NAME*4%3D%26NAME*2%3D%26FILTER_NAME*1%3D%26NAME*3%3D%26FILTER_NAME*2%3D%26NAME*4%3D%26FILTER_NAME*3%3D%26NAME*5%3D%26COLL_YR%3D2009%26COLLECTOR%3DA.H.%2BCurtiss%2B%26COLL_LOCALITY_AND_HABITAT_NO_LATLONG%3DJacksonville%26associated_taxa_full%3D%26sub_cnt2%3D%26sub_cnt1*2%3D|firstval=1|lino=1|nocount=|dataonly=|SID=3624.1555967187
1990212087,FLAG,,https://www.gbif.org/occurrence/1990212087
1503228279,1897,,https://www.gbif.org/occurrence/1503228279
1457756999,1898,,https://www.gbif.org/occurrence/1457756999
1457795816,1897,,https://www.gbif.org/occurrence/1457795816
1457804379,FLAG,,
606648866,1894,,https://rbg-web2.rbge.org.uk/cgi-bin/nph-readfile.pl/dataset=uconn%7Cspecimens/parent=allspecs/filename=genimag?21764909|retq=genus%3D%26species%3D%26NAME*1%3D%26FILTER_NAME*4%3D%26NAME*2%3D%26FILTER_NAME*1%3D%26NAME*3%3D%26FILTER_NAME*2%3D%26NAME*4%3D%26FILTER_NAME*3%3D%26NAME*5%3D%26COLL_YR%3D1984%26COLLECTOR%3DA.H.%2BCurtiss%2B%26COLL_LOCALITY_AND_HABITAT_NO_LATLONG%3DJacksonville%26associated_taxa_full%3D%26sub_cnt2%3D%26sub_cnt1*2%3D|firstval=1|lino=1|nocount=|dataonly=|SID=2492.1555967526
122962523,FLAG,,
123013681,FLAG,,
1931367106,FLAG,,https://www.gbif.org/occurrence/1931367106
699263487,1895,,https://rbg-web2.rbge.org.uk/cgi-bin/nph-readfile.pl/dataset=uconn%7Cspecimens/parent=allspecs/filename=genimag?19224787|retq=genus%3D%26species%3D%26NAME*1%3D%26FILTER_NAME*4%3D%26NAME*2%3D%26FILTER_NAME*1%3D%26NAME*3%3D%26FILTER_NAME*2%3D%26NAME*4%3D%26FILTER_NAME*3%3D%26NAME*5%3D%26COLL_YR%3D1945%26COLLECTOR%3DA.H.%2BCurtiss%2B%26COLL_LOCALITY_AND_HABITAT_NO_LATLONG%3DJacksonville%26associated_taxa_full%3D%26sub_cnt2%3D%26sub_cnt1*2%3D|firstval=1|lino=1|nocount=|dataonly=|SID=1372.1555967788
1930956161,FLAG,,https://www.gbif.org/occurrence/1930956161
1457749789,2006,B. Hansen & C. Van Hoek & R. P. Wunderline et al. ,https://www.gbif.org/occurrence/1457749789
122953557,1960,,http://www.virtualherbarium.org/vh/pic/7924.jpg
1457788186,FLAG,,
1457790275,FLAG,,
1457795828,FLAG,,
1457813466,FLAG,,
1457827535,FLAG,,
122980447,FLAG,,http://www.virtualherbarium.org/vh/pic/84822.jpg
123003269,1964,,http://www.virtualherbarium.org/vh/pic/7950.jpg
122959080,,F. P. Mahr,http://www.virtualherbarium.org/vh/pic/65912.jpg
122907672,1964,,http://www.virtualherbarium.org/vh/pic/13215.jpg
122985714,1965,,http://www.virtualherbarium.org/vh/pic/2434.jpg
122993414,FLAG,,http://www.virtualherbarium.org/vh/pic/52208.jpg
122907650,1961,,http://www.virtualherbarium.org/vh/pic/13099.jpg
122907751,1970,,http://www.virtualherbarium.org/vh/pic/16116.jpg
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
